"ClaimID","Remove","ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"13847312","","9780201853940","AuthorsNamesList","Not Available","eCampus.com","null"
"13847313","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Indoo.com","null"
"13847314","","9780201853940","AuthorsNamesList","Knuth, Donald E.","A1Books","null"
"13847315","","9780201853940","AuthorsNamesList","Knuth","textbooksNow","null"
"13847316","","9780201853940","AuthorsNamesList","Donald Ervin Knuth","paperbackworld.de","null"
"13847317","","9780201853940","AuthorsNamesList","Knuth, Donald Ervin","Caiman","null"
"13847318","","9780201853940","AuthorsNamesList","Knuth, Donald Ervin","Movies With A Smile","null"
"13847319","","9780201853940","AuthorsNamesList","Donald E. Knuth","Marando.de Versandbuchhandlung","null"
"13847320","","9780201853940","AuthorsNamesList","Donald E. Knuth","AHA-BUCH","null"
"13847321","","9780201853940","AuthorsNamesList","Knuth, Donald Ervin","Versandantiquariat Robert A. Mueller","null"
"13847322","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Morgenstundt Buch & Kunst","null"
"13847323","","9780201853940","AuthorsNamesList","Knuth, Donald E.","AlphaCraze.com","null"
"13847324","","9780201853940","AuthorsNamesList","Donald E. Knuth","Odeon Books","null"
"13847325","","9780201853940","AuthorsNamesList","Knuth, Donald","Powell's  Books","null"
"13847326","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Quartermelon","null"
"13847327","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Browns Books","null"
"13847328","","9780201853940","AuthorsNamesList","Donald E. Knuth John Fuller","Books Down Under","null"
"13847329","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Books Down Under","null"
"13847330","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","SWOOP","null"
"13847331","","9780201853940","AuthorsNamesList","Knuth, Donald E.","TheBookCom","null"
"13847332","","9780201853940","AuthorsNamesList","Knuth, Donald E.","THESAINTBOOKSTORE","null"
"13847333","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Mellon's Books","null"
"13847334","","9780201853940","AuthorsNamesList","Knuth, Donald E.","TheBookCom","null"
"13847335","","9780201853940","AuthorsNamesList","Donald E. Knuth","Blackwell Online","null"
"13847336","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Stratford Books","null"
"13847337","","9780201853940","AuthorsNamesList","Donald E Knuth","The Book Depository","null"
"13847338","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Englishbookservice.com GTI GmbH","null"
"13847339","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Revaluation Books","null"
"13847340","","9780201853940","AuthorsNamesList","Donald E. Knuth","Papamedia.com","null"
"13847341","","9780201853940","AuthorsNamesList","Knuth, Donald E.","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13847342","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Bobs Books","null"
"13847343","","9780201853940","AuthorsNamesList","Knuth, Donald E.","A1Books","null"
"13847344","","9780201853940","AuthorsNamesList","Knuth, Donald E.","Revaluation Books","null"
"13847345","","9780201853940","AuthorsNamesList","Knuth, Donald E.","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13847346","","9780201853940","AuthorsNamesList","Donald E. Knuth John Fuller","Bobs Books","null"
"13847347","","9780201853940","AuthorsNamesList","Knuth Donald","Gunars Store","null"
"13847348","","9780201853940","AuthorsNamesList","Knuth Donald","Gunter Koppon","null"
"13847349","","9780201853940","AuthorsNamesList","Donald E. Knuth","Revaluation Books","null"
"13847350","","9780201853940","AuthorsNamesList","KNUTH, DONALD E.","Bobs Books","null"
"13847351","","9780201853940","AuthorsNamesList","Knuth Donald","Bobs Books","null"
"13847352","","9780201853940","AuthorsNamesList","Knuth, Donald Ervin","Limelight Bookshop","null"
"13847353","","9780201853940","AuthorsNamesList","Donald E. Knuth","MildredsBooks","null"
"13847354","","9780321335708","AuthorsNamesList","Knuth, Donald E.","Indoo.com","null"
"13847355","","9780321335708","AuthorsNamesList","Donald E. Knuth","BEST BARGAIN BOOKS","null"
"13847356","","9780321335708","AuthorsNamesList","Knuth, Donald E.","textbookxdotcom","null"
"13847357","","9780321335708","AuthorsNamesList","Knuth, Donald E.","A1Books","null"
"13847358","","9780321335708","AuthorsNamesList","Knuth, Donald Ervin","Caiman","null"
"13847359","","9780321335708","AuthorsNamesList","Knuth, Donald Ervin","Movies With A Smile","null"
"13847360","","9780321335708","AuthorsNamesList","Knuth, Donald E","Powell's  Books","null"
"13847361","","9780321335708","AuthorsNamesList","KNUTH","OPOE-ABE Books","null"
"13847362","","9780321335708","AuthorsNamesList","Donald Knuth","paperbackworld.de","null"
"13847363","","9780321335708","AuthorsNamesList","Donald E. Knuth","Players Quest","null"
"13847364","","9780321335708","AuthorsNamesList","Donald E. Knuth","Books Down Under","null"
"13847365","","9780321335708","AuthorsNamesList","KNUTH, DONALD","Books Down Under","null"
"13847366","","9780321335708","AuthorsNamesList","Donald E. Knuth","Marando.de Versandbuchhandlung","null"
"13847367","","9780321335708","AuthorsNamesList","Donald E. Knuth","AHA-BUCH","null"
"13847368","","9780321335708","AuthorsNamesList","Knuth, Donald E.","THESAINTBOOKSTORE","null"
"13847369","","9780321335708","AuthorsNamesList","Knuth, Donald","Versandantiquariat Robert A. Mueller","null"
"13847370","","9780321335708","AuthorsNamesList","Knuth, Donald E.","Morgenstundt Buch & Kunst","null"
"13847371","","9780321335708","AuthorsNamesList","KNUTH, DONALD","Mellon's Books","null"
"13847372","","9780321335708","AuthorsNamesList","Knuth, Donald E.","TheBookCom","null"
"13847373","","9780321335708","AuthorsNamesList","Donald E. Knuth","Blackwell Online","null"
"13847374","","9780321335708","AuthorsNamesList","Donald Knuth","The Book Depository","null"
"13847375","","9780321335708","AuthorsNamesList","Knuth, Donald E.","Revaluation Books","null"
"13847376","","9780321335708","AuthorsNamesList","Knuth, Donald E.","Englishbookservice.com GTI GmbH","null"
"13847377","","9780321335708","AuthorsNamesList","Knuth, Donald E.","Revaluation Books","null"
