"ClaimID","Remove","ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"13857312","","9780321218735","AuthorsNamesList","Branigan, Steven (Author)","Stratford Books","null"
"13857313","","9780321218735","AuthorsNamesList","BRANIGAN, STEVEN","Bobs Books","null"
"13857314","","9780321218735","AuthorsNamesList","Steven Branigan","Bobs Books","null"
"13857315","","9780321218735","AuthorsNamesList","Branigan, Steven","THESAINTBOOKSTORE","null"
"13857316","","9780321218735","AuthorsNamesList","Steven Branigan","Blackwell Online","null"
"13857317","","9780321218735","AuthorsNamesList","Branigan, Steven","Revaluation Books","null"
"13857318","","9780321218735","AuthorsNamesList","Steven Branigan","The Book Depository","null"
"13857319","","9780321218735","AuthorsNamesList","Branigan, Steven","Revaluation Books","null"
"13857320","","9780321218735","AuthorsNamesList","Branigan Steven","Gunter Koppon","null"
"13857321","","9780321218735","AuthorsNamesList","Branigan Steven","Gunars Store","null"
"13857322","","9780321218735","AuthorsNamesList","Branigan Steven","Bobs Books","null"
"13857323","","9780321218735","AuthorsNamesList","Steven Branigan","MildredsBooks","null"
"13857324","","9780321127006","AuthorsNamesList","Russ White; Danny McPherson; Srihari Sangli","BEST BARGAIN BOOKS","null"
"13857325","","9780321127006","AuthorsNamesList","White, Russ; McPherson, Danny; Sangli, Srihari","eCampus.com","null"
"13857326","","9780321127006","AuthorsNamesList","White, RussMcPherson, DannySangli, Srihari","Indoo.com","null"
"13857327","","9780321127006","AuthorsNamesList","White, Russ, McPherson, Danny, Sangli, Srihari","A1Books","null"
"13857328","","9780321127006","AuthorsNamesList","Yakov Rekhter","textbookxdotcom","null"
"13857329","","9780321127006","AuthorsNamesList","White, Russ/ McPherson, Danny/ Sangli, S","Books2Anywhere.com","null"
"13857330","","9780321127006","AuthorsNamesList","White, Russ/ McPherson, Danny/ Sangli, S","Paperbackshop-US","null"
"13857331","","9780321127006","AuthorsNamesList","White, Russ","Caiman","null"
"13857332","","9780321127006","AuthorsNamesList","Russ White, Danny McPherson, Srihari Sangli","Odeon Books","null"
"13857333","","9780321127006","AuthorsNamesList","Russ White, Danny McPherson, Srihari Sangli","paperbackworld.de","null"
"13857334","","9780321127006","AuthorsNamesList","White, Russ, McPherson, Danny, Sangli, Srihari","A1Books","null"
"13857335","","9780321127006","AuthorsNamesList","White, Russ","Browns Books","null"
"13857336","","9780321127006","AuthorsNamesList","Russ White, et al","Papamedia.com","null"
"13857337","","9780321127006","AuthorsNamesList","White, Russ; McPherson, Danny; Sangli, Srihari","COBU GmbH & Co. KG","null"
"13857338","","9780321127006","AuthorsNamesList","White, Russ McPherson, Danny Sangli, Srihari","Versandantiquariat Robert A. Mueller","null"
"13857339","","9780321127006","AuthorsNamesList","White, Russ; McPherson, Danny; Sangli, Srihari","Morgenstundt Buch & Kunst","null"
"13857340","","9780321127006","AuthorsNamesList","WHITE, RUSS MCPHERSON, DANNY SANGLI, SRIHARI","Quartermelon","null"
"13857341","","9780321127006","AuthorsNamesList","WHITE, RUSS","SWOOP","null"
"13857342","","9780321127006","AuthorsNamesList","White, Russ (Author) McPherson, Danny (Author) Srihari, Sangli (Author)","Quartermelon","null"
"13857343","","9780321127006","AuthorsNamesList","White, Russ","TheBookCom","null"
"13857344","","9780321127006","AuthorsNamesList","WHITE, RUSS","Mellon's Books","null"
"13857345","","9780321127006","AuthorsNamesList","White, Russ","TheBookCom","null"
