"ClaimID","Remove","ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"13867312","","9780072227765","AuthorsNamesList","Otey, Michael (Author)","Stratford Books","null"
"13867313","","9780072227765","AuthorsNamesList","OTEY, MICHAEL","Bobs Books","null"
"13867314","","9780072227765","AuthorsNamesList","Otey, Michael","Revaluation Books","null"
"13867315","","9780072227765","AuthorsNamesList","Otey, Michael","Bobs Books","null"
"13867316","","9780072227765","AuthorsNamesList","Otey, Michael","Books Down Under","null"
"13867317","","9780072227765","AuthorsNamesList","Otey, Michael","Limelight Bookshop","null"
"13867318","","9780072227765","AuthorsNamesList","Michael Otey","ben artoge bookstore","null"
"13867319","","9780072227765","AuthorsNamesList","Michael Otey","ben artoge bookstore","null"
"13867320","","9780072254280","AuthorsNamesList","HART","Technischer Overseas Pvt. Ltd.","null"
"13867321","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Gildonbooks","null"
"13867322","","9780072254280","AuthorsNamesList","HART/JESSE","Indoo.com","null"
"13867323","","9780072254280","AuthorsNamesList","Hart, Matthew","Caiman","null"
"13867324","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","A1Books","null"
"13867325","","9780072254280","AuthorsNamesList","Scott Jesse","Paperbackshop-US","null"
"13867326","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","A1Books","null"
"13867327","","9780072254280","AuthorsNamesList","Scott Jesse","textbookxdotcom","null"
"13867328","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Henry's Biz Books","null"
"13867329","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Annex Books Inc","null"
"13867330","","9780072254280","AuthorsNamesList","Matthew Hart; Scott Jesse; Matthew Hart; Scott Jesse","Players Quest","null"
"13867331","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Kayleighbug Books","null"
"13867332","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Kayleighbug","null"
"13867333","","9780072254280","AuthorsNamesList","Matthew Hart, et al","Papamedia.com","null"
"13867334","","9780072254280","AuthorsNamesList","Hart, Matthew","Powell's  Books","null"
"13867335","","9780072254280","AuthorsNamesList","Hart, Matthew","Powell's  Books","null"
"13867336","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","Blackwell Online","null"
"13867337","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","Odeon Books","null"
"13867338","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","paperbackworld.de","null"
"13867339","","9780072254280","AuthorsNamesList","Hart, Matthew","TheBookCom","null"
"13867340","","9780072254280","AuthorsNamesList","HART, MATTHEW","Mellon's Books","null"
"13867341","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","Marando.de Versandbuchhandlung","null"
"13867342","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","AHA-BUCH","null"
"13867343","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","COBU GmbH & Co. KG","null"
"13867344","","9780072254280","AuthorsNamesList","Hart, Matthew","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13867345","","9780072254280","AuthorsNamesList","Hart, Matthew","TheBookCom","null"
"13867346","","9780072254280","AuthorsNamesList","Matthew Hart, Scott Jesse","Blackwell Online","null"
"13867347","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","THESAINTBOOKSTORE","null"
"13867348","","9780072254280","AuthorsNamesList","Hart, Matthew","FREE U.S. AIR SHIPPING @ thebookcompany","null"
"13867349","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Bobs Books","null"
"13867350","","9780072254280","AuthorsNamesList","Hart, Matthew; Jesse, Scott","Books Down Under","null"
"13867351","","9780072254280","AuthorsNamesList","Hart, Matthew/ Jesse, Scott","Revaluation Books","null"
"13867352","","9780072254280","AuthorsNamesList","Hart, Matthew","Limelight Bookshop","null"
"13867353","","9780072261943","AuthorsNamesList","Hardman, Ron","Browns Books","null"
"13867354","","9780072261943","AuthorsNamesList","Hardman, Ron; McLaughlin, Michael.","The Book Den, ABAA","null"
"13867355","","9780072261943","AuthorsNamesList","HARDMAN","Indoo.com","null"
"13867356","","9780072261943","AuthorsNamesList","Hardman, Ron","Caiman","null"
"13867357","","9780072261943","AuthorsNamesList","Hardman, Ron","Browns Books","null"
"13867358","","9780072261943","AuthorsNamesList","Ron Hardman","The Book Depository","null"
"13867359","","9780072261943","AuthorsNamesList","Ron Hardman, Michael McLaughlin","A1Books","null"
"13867360","","9780072261943","AuthorsNamesList","HARDMAN","textbookxdotcom","null"
"13867361","","9780072261943","AuthorsNamesList","HARDMAN, RON MCLAUGHLIN, MICHAEL","Quartermelon","null"
"13867362","","9780072261943","AuthorsNamesList","Hardman, Ron; McLaughlin, Michael","THESAINTBOOKSTORE","null"
"13867363","","9780072261943","AuthorsNamesList","Hardman, Ron","TheBookCom","null"
"13867364","","9780072261943","AuthorsNamesList","Hardman, Ron; McLaughlin, Michael","Kayleighbug Books","null"
"13867365","","9780072261943","AuthorsNamesList","Hardman, Ron; McLaughlin, Michael","Kayleighbug","null"
"13867366","","9780072261943","AuthorsNamesList","HARDMAN, RON","SWOOP","null"
"13867367","","9780072261943","AuthorsNamesList","Ron Hardman, Michael McLaughlin","Papamedia.com","null"
"13867368","","9780072261943","AuthorsNamesList","Hardman, Ron","TheBookCom","null"
